datetime,tempmax_x,tempmin_x,temp,feelslikemax_x,feelslikemin_x,feelslike,dew,humidity,precipprob,precipcover,windspeed_x,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,apparent_temperature_mean,precipitation_sum,precipitation_hours,windspeed_y,et0_fao_evapotranspiration,river_discharge,rain_sum,precip
1/1/13,25,11.4,17.8,25,11.4,17.8,12.2,73.1,0,0,13,301.4,1011.5,27.6,2.1,170.7,14.7,7,17,0,0,10.5,3.01,0.22,0,0
2/1/13,25,12.4,18.7,25,12.4,18.7,13,71.5,0,0,14.8,333.7,1012.1,10.4,2.2,167,14.3,6,18.2,0,0,9.5,2.9,0.22,0,0
3/1/13,25,15.9,19.1,25,15.9,19.1,13.9,73.3,100,8.33,9.4,188.7,1012.9,25.8,1.9,93.3,8.1,3,19.1,0,0,6.8,1.26,0.22,0,0.2
4/1/13,25,15.9,20,25,15.9,20,15.7,77.6,0,0,9.4,338.6,1012.7,61.1,1.6,164.6,14.2,6,19.7,0,0,8.9,2.43,0.22,0,0
5/1/13,25,15,19.1,25,15,19.1,13.9,73.5,0,0,9.4,329.9,1011.4,13.3,2,171.2,14.9,7,17.8,0,0,9.3,3,0.22,0,0
6/1/13,23.5,14.6,17.8,23.5,14.6,17.8,11.5,68.7,0,0,14.8,338.4,1012.2,0,2.3,171.9,14.9,7,16.5,0,0,11,3.06,0.22,0,0
7/1/13,20,14,16.9,20,14,16.9,11.5,70.9,0,0,14.8,304.5,1012.8,51.5,2.2,157.9,13.6,6,17,0,0,8,1.85,0.22,0,0
8/1/13,17,10,13.7,17,10,13.7,10.6,81.9,0,0,27.7,296,1014.2,42.3,1.5,173.7,14.9,7,13.5,0,0,10.1,2.89,0.22,0,0
9/1/13,16,7.1,11.4,16,5.5,10.9,9.1,86.4,0,0,18.4,294.9,1014.6,38.9,1.3,183.9,15.9,7,11.7,0,0,10.1,2.79,0.22,0,0
10/1/13,18,7,12.2,18,7,12.2,10.1,87.4,0,0,11.2,2.8,1013.5,49.1,0.9,172.7,14.9,7,13.5,0,0,10,2.76,0.22,0,0
11/1/13,18,8,12.7,18,8,12.7,9.6,83.1,0,0,9.4,29.4,1013.8,35.3,1.3,156,13.5,6,14.3,0,0,9.2,2.5,0.22,0,0
12/1/13,22,8,15,22,8,15,11.3,80.3,0,0,13,295.2,1014,34.2,1.4,160.8,13.8,6,13.9,0,0,10.4,2.94,0.22,0,0
13-01-2013,25,11,17.2,25,11,17.2,12.7,76.7,0,0,5.4,286.2,1011.8,16.5,1.7,163,14.1,6,14.8,0,0,10.6,3.02,0.22,0,0
14-01-2013,25,11,17.8,25,11,17.8,12.5,74.1,0,0,5.4,347.4,1012.4,22.4,1.7,169.1,14.4,6,16.3,0,0,9.9,3,0.22,0,0
15-01-2013,26,12.7,18.8,26,12.7,18.8,11.9,67.9,0,0,11.2,304,1014.1,21.1,2.2,175.1,15,7,16.9,0,0,9.5,3.23,0.22,0,0
16-01-2013,26,15,19.6,26,15,19.6,13,68.2,0,0,7.6,6.5,1015.2,10.5,2.4,171.7,14.8,7,17.8,0,0,10,3.12,0.22,0,0
17-01-2013,27,13.9,20.1,27.3,13.9,20.1,14.3,71.4,0,0,9.4,319,1015.7,33.9,2,153.6,13.4,6,19,0,0,9.3,3.13,0.22,0,0
18-01-2013,29,14,20.8,28.6,14,20.8,13.9,67.2,0,0,9.4,24.9,1015.8,28.8,2.9,176.5,15.3,7,19.9,0,0,9.7,3.24,0.22,0,0
19-01-2013,29,14,20.8,28.6,14,20.8,14.8,71.4,0,0,11.2,317,1014.5,0,2.5,173.2,14.9,7,20.6,0,0,9.7,3.27,0.22,0,0
20-01-2013,26,16.8,20.7,26,16.8,20.7,15.3,72.1,0,0,14.8,318.6,1014.2,4.2,2.4,168.8,14.5,6,20.8,0.2,1,11.5,2.88,0.22,0.2,0
21-01-2013,25,17.6,21.1,25,17.6,21.1,14.2,66,0,0,14.8,313.4,1016.2,6.2,2.8,175.5,15.1,7,17.7,0,0,13.2,3.55,0.22,0,0
22-01-2013,25,15,20.2,25,15,20.2,13.1,65.5,0,0,18.4,294.8,1016.5,0.4,2.9,201.5,17.4,7,16.6,0,0,9.2,3.4,0.22,0,0
23-01-2013,28,15,20.2,27.5,15,20.1,12.9,65.9,0,0,14.8,293.3,1015.3,4.5,2.9,211.9,18.1,8,17.2,0,0,9.8,3.43,0.22,0,0
24-01-2013,27,14,19.3,27,14,19.3,13.1,69.3,0,0,14.8,291.2,1014.9,0,2.9,211.3,18,8,16.6,0,0,10.5,3.54,0.22,0,0
25-01-2013,23,11.7,17.4,23,11.7,17.4,12.1,72.9,0,0,18.4,288.2,1015.4,16.9,2.5,212.5,18.3,8,15.5,0,0,11.8,3.48,0.2,0,0
26-01-2013,26,13,17.5,26,13,17.5,10.9,67.4,0,0,18.4,299.2,1015.5,1.2,2.6,204.8,17.5,8,15.1,0,0,11.1,3.37,0.2,0,0
27-01-2013,23,12,17.4,23,12,17.4,12,72.2,0,0,14.8,286.2,1015.2,18,2.1,194.5,16.8,7,15.7,0,0,9.8,3.32,0.2,0,0
